"Timestamp","Do you know what is Python?","Have you ever tried to complete Python online/in-person course or exercises? ","Do you feel Python is a challenging programming language to learn? ","Do you think you need to learn Python?","How do you feel on a scale 1 to 10 about Python? 1 being completely unfamiliar*","Do you feel this lecture was useful?"
"2023/04/22 1:46:28 PM AST","Yes","Yes","Yes","Yes","5","Yes"
"2023/04/22 1:46:39 PM AST","Yes","Yes","Yes","Yes","4","Yes"
"2023/04/22 1:46:48 PM AST","Yes","Yes","No","Yes","8","Yes"
"2023/04/22 1:46:52 PM AST","Yes","Yes","Yes","Yes","4","Yes"
"2023/04/22 1:46:53 PM AST","Yes","No","No","Yes","6","Yes"
"2023/04/22 1:47:06 PM AST","Yes","No","No","Yes","7","No"
"2023/04/22 1:47:09 PM AST","Yes","Yes","No","Yes","4","Yes;No"
"2023/04/22 1:47:13 PM AST","Yes","No","No","No","6","No"
"2023/04/22 1:47:15 PM AST","Yes","Yes","Yes","Yes","8","Yes"
"2023/04/22 1:47:21 PM AST","Yes","Yes","Yes","No","7","Yes"
"2023/04/22 1:47:56 PM AST","Yes","Yes","Yes","Yes","7","Yes"
"2023/04/22 1:47:57 PM AST","Yes","Yes","No","Yes","4","Yes"
"2023/04/22 1:48:04 PM AST","Yes","Yes","No","Yes","2","Yes"
"2023/04/22 1:48:15 PM AST","Yes","Yes","No","Yes","8","Yes"
"2023/04/22 1:48:32 PM AST","No","No","Yes","Yes","3","No"