"Timestamp","Do you know what is Python?","Have you ever encounter a situation where you needed Python?","Have you ever tried to complete Python online/in-person course or exercises? ","Do you feel Python is a challenging programming language to learn? ","Do you think you need to learn Python?","How do you feel on a scale 1 to 10 about Python? 1 being completely unfamiliar*","Do you feel this lecture will be useful?"
"2023/04/22 10:09:40 AM AST","Yes","No","No","Yes","Yes","1","Yes"
"2023/04/22 10:09:58 AM AST","Yes","No","No","No","Yes","7","Yes"
"2023/04/22 10:10:11 AM AST","Yes","Yes","Yes","No","Yes","6","Yes"
"2023/04/22 10:10:33 AM AST","Yes","Yes","Yes","No","Yes","7","Yes"
"2023/04/22 10:11:27 AM AST","Yes","Yes","Yes","No","Yes","8","Yes"
"2023/04/22 10:11:49 AM AST","Yes","No","Yes","Yes","Yes","2","Yes"
"2023/04/22 10:12:10 AM AST","Yes","No","No","Yes","Yes","3","Yes"
"2023/04/22 10:13:15 AM AST","Yes","Yes","No","Yes","Yes","2","Yes"
"2023/04/22 10:13:40 AM AST","Yes","Yes","Yes","No","Yes","6","Yes"
"2023/04/22 10:13:57 AM AST","Yes","No","No","Yes","Yes","1","Yes"
"2023/04/22 10:14:17 AM AST","Yes","Yes","Yes","Yes","Yes","2","Yes"
"2023/04/22 10:14:30 AM AST","Yes","No","Yes","Yes","Yes","2","Yes"
"2023/04/22 10:14:49 AM AST","Yes","No","Yes","Yes","Yes","1","Yes"
"2023/04/22 10:15:23 AM AST","Yes","No","Yes","Yes","Yes","1","Yes"
"2023/04/22 10:15:30 AM AST","Yes","No","No","No","Yes","2","Yes"
"2023/04/22 10:15:59 AM AST","Yes","Yes","Yes","Yes","Yes","4","Yes"
"2023/04/22 10:16:03 AM AST","Yes","Yes","Yes","Yes","Yes","4","Yes"
"2023/04/22 10:16:32 AM AST","Yes","Yes","Yes","Yes","Yes","7","Yes"
"2023/04/22 10:19:33 AM AST","Yes","Yes","Yes","Yes","Yes","7","Yes"
"2023/04/22 10:20:56 AM AST","No","Yes","No","No","Yes","1","Yes"
"2023/04/22 10:31:59 AM AST","Yes","No","Yes","Yes","Yes","2","Yes"
"2023/04/22 10:38:59 AM AST","No","No","Yes","No","Yes","5","Yes"
"2023/04/22 10:39:16 AM AST","Yes","No","No","Yes","Yes","4","Yes"